Stock A,Stock B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
KO,TAP,-3.438699100220954,0.03823038535974836,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20383859110936373,486.91177437758535,17,0,1
NEM,KO,-3.339102076136337,0.04957889329437527,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2291294329511915,562.297690346992,31,0,0
NI,KO,-3.8048944766543724,0.013353558358487106,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2299290391819486,-47976.389489767214,43,0,0
ORCL,KO,-3.38650068002497,0.04387211018580305,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22609869159384585,134.54044688274485,43,0,0
QCOM,KO,-3.7505213614249735,0.01575800907857448,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2906307935512947,401.3624653556565,13,0,0
KO,SLB,-4.4022130584512995,0.0017649472225151435,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.28277781369961197,487.97322987949883,17,0,0
UPS,KO,-3.4603253697637273,0.03607828028589732,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2929248431565581,2611.393478673627,36,0,0
VNO,KO,-3.5291628166906293,0.029896261059599583,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2688981833554347,769.5350315408264,21,0,0
KO,WEC,-3.6357712257286687,0.022111912940296876,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2455005574337357,-621.2236359322337,29,0,0
WST,KO,-3.420480921825368,0.04012605789071744,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.25254244953973737,-1214.178669711862,27,0,0
WMB,KO,-3.628839781162864,0.0225585255202107,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.24957993391411695,4607.646739862465,48,0,0
KO,XEL,-3.894897260264136,0.01008137311822934,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2526379825815473,450.9551449215689,49,0,0
DXC,CTSH,-4.119616664599351,0.004813020115220618,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2362736678303191,38.25303350140293,18,0,1
CTSH,EMN,-3.434731223267033,0.038636725443280256,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20564788285672084,137.52544037065084,38,0,0
XOM,CTSH,-3.4091379321847257,0.041345616602996516,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2361035401122093,115.69141182580269,18,0,0
GPS,CTSH,-3.9297725296970967,0.009019894524238427,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.24406192525759265,1550.634543407216,21,0,0
HPE,CTSH,-3.962776190776328,0.00810884477982823,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2265502302448551,2837.225391182144,20,0,1
