,stock A,Stock B,Cointegration coefficient,Correlation coefficient
369,IQV,PFE,0.031188045518197226,0.9187938445264269
370,LHX,ALLE,0.031253833945280425,0.9572908675172421
371,FISV,FLT,0.03165714679878275,0.9467887331916574
372,PAYC,CDW,0.03188621252096898,0.9634690524217687
373,MTD,DGX,0.03189048497789168,0.9405443852276858
374,CHRW,SWK,0.03216241245747131,0.8728301939744422
375,TECH,PKI,0.03219812763546302,0.9717563611042673
376,KSU,UPS,0.03228200150434782,0.9404942498386744
377,PPG,LIN,0.03248289242803427,0.8964409260811337
378,ALL,CME,0.03251601490924615,0.9437680707137099
379,ALL,TFC,0.03257121676606164,0.9084204218527581
380,PFE,WAT,0.032574466606158474,0.91305975656546
381,WST,TECH,0.032743175498794325,0.975098812869336
382,VRSK,CTAS,0.03284585545574361,0.9813929765525531
383,PCAR,FAST,0.03287888296127407,0.9406154395227176
384,TFC,RF,0.03295278349199023,0.9795485940151127
385,BK,CMA,0.03319277006250211,0.924440267779863
386,ILMN,ALGN,0.0332962206991655,0.9063406749395908
387,MMM,LUV,0.033591690735717994,0.8505691649829672
388,ARE,CCI,0.03363064415374781,0.9732100003101536
389,NTRS,TRV,0.03368887444506399,0.9153725037236976
390,TSCO,TSLA,0.03368901500902566,0.9100573677238903
391,HRL,KMB,0.03375099947539034,0.9077745067547441
392,ILMN,RMD,0.0338816634256571,0.9138791243331332
393,TDY,ALLE,0.03389761556320641,0.964187492034235
394,PCAR,TDY,0.03397841872675068,0.9232423501843049
395,NUE,ALB,0.03415271980831705,0.8876855758438924
396,ECL,BLL,0.034180393674851275,0.97002191867516
397,ATO,ED,0.03434619166099308,0.9622599481629098
398,MPWR,KLAC,0.034508406474486344,0.983304599805867
399,ABBV,LH,0.03461010743541659,0.9226161427882438
400,ADI,TYL,0.03503344066512362,0.9586180353153518
401,HOLX,MTD,0.03516288334368185,0.9350732832932193
402,CTAS,AME,0.03537306074078298,0.9746671323697177
403,ILMN,SYK,0.035531121676585106,0.9119875369585879
404,C,HIG,0.035697113772186165,0.8836103696811832
405,PAYX,AVGO,0.03584162276009976,0.9674717503574607
406,CRM,ACN,0.03588873426296123,0.9692695863754962
407,CTRA,DVN,0.03600471601414711,0.8327988047796435
408,ACN,TYL,0.036044943883328594,0.9724835729943047
409,MDT,ZTS,0.036257399311185434,0.9561375060922683
410,KEYS,PAYX,0.03637795368758042,0.9611750518729852
411,MCO,AON,0.036443442806911794,0.9704408841958524
412,FBHS,EFX,0.03647498205030713,0.9151207670505153
413,ENPH,FTNT,0.03670119767985121,0.8926601331490323
414,IEX,TDG,0.03677791474642298,0.9593399877589758
415,AKAM,AAPL,0.036908932615984616,0.8975773169913092
416,HIG,PNC,0.03695851868910045,0.926831263308192
417,ROL,TDG,0.03717581211568973,0.9111558218227559
418,KMX,HD,0.03729721505776413,0.9263632204869636
419,HCA,PFE,0.037334930201126916,0.9177709614424592
420,XYL,HON,0.03733497242337881,0.9818385482295985
421,TMO,ZTS,0.03737429281802396,0.9852288973309735
422,CL,WMT,0.037432945371342986,0.8598899449665544
423,SYK,JNJ,0.037531441319681336,0.9609701897022856
424,NSC,PCAR,0.037821046883978554,0.9404485976100122
425,PNC,FITB,0.03784829682432644,0.9766825128174281
426,CDNS,AMD,0.037937139949738276,0.9822049491321863
427,TER,MSFT,0.03800264054086285,0.9681246437513472
428,TT,DE,0.03812100486347314,0.9804834941720073
429,FITB,MET,0.03812253929834004,0.9380597400129045
430,ALLE,ROP,0.038586243421642366,0.9605215457303703
431,CBOE,C,0.03876422812165297,0.8577276967297081
432,HOLX,ZBH,0.038943021855262085,0.8699358587325138
433,GPC,LOW,0.038946499439179175,0.8857526676669614
434,TDG,CTAS,0.038997463731072365,0.9759657947016078
435,HUM,RMD,0.0393444865676632,0.9274769253872758
436,LUV,GD,0.039479931670675976,0.8886442546273332
437,CB,FITB,0.03951065523844703,0.8885336809699034
438,ORCL,SNPS,0.03982789751236876,0.9466911536981172
439,DG,KMX,0.04004515142884993,0.8933185398623678
440,ACN,APH,0.04030823077867054,0.9806909573072573
441,LLY,TMO,0.040327654404830694,0.9628875530511983
442,IPGP,CTSH,0.04040306860652751,0.855502211212238
443,ANTM,PKI,0.04050371062089284,0.9362874021102143
444,UPS,ODFL,0.04051626957525854,0.9397285612381342
445,CZR,GM,0.040523533086117274,0.8916010849733086
446,ALLE,RSG,0.040582175519052736,0.9729709973767382
447,ADBE,TER,0.04059031799061086,0.954014439196105
448,ADI,CRM,0.04062838590470487,0.9593237099360974
449,FFIV,PTC,0.04067988779208723,0.9041672553654259
450,SYK,UNH,0.040705642583146545,0.9739399609984639
451,LLY,HCA,0.04082385491522088,0.9418421612260145
452,PNC,BAC,0.04088815493004326,0.9857261088051169
453,ZION,RF,0.04091136137685548,0.978847523690373
454,ADI,PAYX,0.040920360541599525,0.9758570039169309
455,CRL,LH,0.04112645006483422,0.9521632861829338
456,CL,PG,0.04118433715137756,0.8903268928216715
457,EMR,EXPD,0.041234668799711945,0.9259423439475923
458,C,HBAN,0.04128638986775733,0.9404211283431172
459,JPM,TFC,0.04136852154452913,0.9574283083100077
460,STE,COO,0.04149821910358523,0.970409850577476
461,ILMN,UNH,0.04160200648681536,0.9214481376499584
462,CSX,IEX,0.04168762394339249,0.9787605311153471
463,AMGN,MDT,0.04211573513962406,0.9273218896353166
464,HOLX,MDT,0.042320356194780806,0.9214474272957144
465,TER,ADSK,0.04233234516854806,0.9697578501524504
466,TXN,MCHP,0.04252440954522917,0.9816555060344574
467,DE,EXPD,0.042576073365472415,0.9623022195186447
468,CRM,PAYX,0.04261435757734438,0.9466377366017158
469,BIO,A,0.042616761337441675,0.9811222505843183
470,MSFT,SNPS,0.04268633651214843,0.990348949953625
471,AWK,SO,0.04289644183386372,0.9643526055319108
472,QCOM,ENPH,0.043040350637125226,0.9556713887725812
473,JBHT,EXPD,0.04313808384016007,0.9550809459813636
474,ABT,ILMN,0.043141785063679376,0.9416472753820582
475,ALLE,VRSK,0.04325653877456463,0.9327163504086882
476,PSX,MPC,0.04327320994234359,0.8504470914034469
477,TRMB,ORCL,0.04329485068614439,0.9397791872341497
478,PFE,SYK,0.04330901045410738,0.9152725242540616
479,CHRW,ROP,0.043331636035930564,0.8715318059808028
480,CTAS,FAST,0.04343438483584549,0.9628161682478826
481,PNC,CB,0.043505576462357955,0.9357888498352557
482,UPS,PNR,0.043558448559803425,0.8668949342747649
483,AJG,NDAQ,0.04356912071687718,0.9781925103153501
484,WU,GPN,0.04359029741619013,0.9117687542132242
485,TER,AMD,0.04367083413618559,0.9629917961990857
486,IQV,WAT,0.04376086791151013,0.9609286726904229
487,HPQ,NTAP,0.043814875326106076,0.9220113946022952
488,KMB,MDLZ,0.04389936476287727,0.9216504356730787
489,FLT,GPN,0.04416906795511353,0.9416315273692492
490,NTRS,RE,0.044179972430293916,0.9107921469037881
