Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,ANTM,273040.0419142678,148.48528621003214,0
BTC,AON,269798.7001575553,146.78698907713812,0
BTC,APA,259702.45343649184,67.55369417993691,0
BTC,AAPL,319218.083664543,416.03896739757295,0
BTC,AMAT,217077.16646481946,67.93585726338733,0
BTC,APTV,inf,34.82127922124675,0
BTC,ANET,263733.6579765359,126.772868308625,0
BTC,AIZ,283670.65879351145,118.35787347192857,0
BTC,T,311174.7472813142,209.26236174805848,0
BTC,ATO,315720.0291197684,232.9244356817324,0
BTC,ADSK,5792545.092698466,58.51181705493361,0
BTC,AZO,85266.50473568257,129.1484284278735,0
BTC,AVB,306745.12426826236,193.65717327764003,0
BTC,AVY,188801.4099658223,81.57452480186029,0
BTC,BKR,124439.89367070318,81.42792685132298,0
BTC,BLL,256743.77672453164,107.28936952608719,0
BTC,BAC,193263.6972988202,92.6297249989612,0
BTC,BBWI,inf,1046.7195310059437,0
BTC,BAX,319755.5014100736,250.4982084422236,0
BTC,BDX,317028.8427397366,238.89943886357867,0
BTC,WRB,257380.70531732414,105.77176916394865,0
BTC,BRK.B,273906.47257326974,128.2517597587315,0
BTC,BBY,inf,38.787933860209066,0
BTC,BIO,inf,95.79441100280094,0
BTC,TECH,111163.46480555521,65.17548531725946,0
BTC,BIIB,316763.8351470984,245.02816751547684,0
BTC,BLK,211845.63592779392,85.05149582149755,0
BTC,BK,288307.7124367943,156.46348591038384,0
BTC,BA,246998.68888966367,73.05200842648942,0
BTC,BKNG,inf,64.25160759863215,0
BTC,BWA,inf,38.545429165146274,0
BTC,BXP,308440.5277396058,200.09254371322092,0
BTC,BSX,293813.05030955456,179.33544478310404,0
BTC,BMY,308134.0194846081,201.57445480011563,0
BTC,AVGO,2562026.3245190997,49.16287515157534,0
BTC,BR,inf,101.03187686531916,0
BTC,BRO,185143.60741315593,108.59857341117207,0
BTC,CHRW,128481.6658363074,95.63268434732407,0
BTC,CDNS,169155.4255704131,55.10457134537955,0
BTC,CZR,inf,1540.9586874318911,0
BTC,CPB,316463.1352664073,224.99730836236427,0
BTC,COF,inf,44.513453232599595,0
BTC,CAH,292893.5889272846,174.09709034344075,0
BTC,KMX,inf,35.84230360052016,0
BTC,CCL,inf,57.82752060841932,0
BTC,CARR,inf,64.60276745864888,0
BTC,CTLT,inf,30.15689034817829,0
BTC,CAT,165068.67424066685,46.69889762989596,0
BTC,CBOE,315093.820611206,236.83345382528944,0
BTC,CBRE,249361.76054665534,69.33965399557225,0
BTC,CDW,192598.832818195,98.86289848204936,0
BTC,CE,43780.33986742036,39.18408509412645,0
